feature_name,domain,source_table,source_column,itemid_or_icd_code,official_label,unit,aggregation,observation_window,missing_value_rule,used_for_los,used_for_readmission,exclusion_reason
age,demographics,patients/admissions,"anchor_age, anchor_year, admittime",,Age,,direct/derived at admission,at admission,median imputation in model pipeline,True,True,
gender,demographics,patients,gender,,Gender,,direct/derived at admission,at admission,median imputation in model pipeline,True,True,
race,demographics,admissions,race,,Race,,direct/derived at admission,at admission,median imputation in model pipeline,True,True,
insurance,demographics,admissions,insurance,,Insurance,,direct/derived at admission,at admission,median imputation in model pipeline,True,True,
marital_status,demographics,admissions,marital_status,,Marital Status,,direct/derived at admission,at admission,median imputation in model pipeline,True,True,
admission_type,demographics,admissions,admission_type,,Admission Type,,direct/derived at admission,at admission,median imputation in model pipeline,True,True,
admission_location,demographics,admissions,admission_location,,Admission Location,,direct/derived at admission,at admission,median imputation in model pipeline,True,True,
emergency_admission,demographics,admissions,admission_type,,Emergency Admission,,direct/derived at admission,at admission,median imputation in model pipeline,True,True,
heart_rate_first,vitals,chartevents,"valuenum, charttime, itemid",220045,Heart Rate,bpm,first,first 24 hours,median imputation in model pipeline,True,True,
heart_rate_min,vitals,chartevents,"valuenum, charttime, itemid",220045,Heart Rate,bpm,minimum,first 24 hours,median imputation in model pipeline,True,True,
heart_rate_max,vitals,chartevents,"valuenum, charttime, itemid",220045,Heart Rate,bpm,maximum,first 24 hours,median imputation in model pipeline,True,True,
systolic_bp_first,vitals,chartevents,"valuenum, charttime, itemid",220179,Non Invasive Blood Pressure systolic,mmHg,first,first 24 hours,median imputation in model pipeline,True,True,
systolic_bp_min,vitals,chartevents,"valuenum, charttime, itemid",220179,Non Invasive Blood Pressure systolic,mmHg,minimum,first 24 hours,median imputation in model pipeline,True,True,
systolic_bp_max,vitals,chartevents,"valuenum, charttime, itemid",220179,Non Invasive Blood Pressure systolic,mmHg,maximum,first 24 hours,median imputation in model pipeline,True,True,
diastolic_bp_first,vitals,chartevents,"valuenum, charttime, itemid",220180,Non Invasive Blood Pressure diastolic,mmHg,first,first 24 hours,median imputation in model pipeline,True,True,
diastolic_bp_min,vitals,chartevents,"valuenum, charttime, itemid",220180,Non Invasive Blood Pressure diastolic,mmHg,minimum,first 24 hours,median imputation in model pipeline,True,True,
diastolic_bp_max,vitals,chartevents,"valuenum, charttime, itemid",220180,Non Invasive Blood Pressure diastolic,mmHg,maximum,first 24 hours,median imputation in model pipeline,True,True,
mean_arterial_pressure_first,vitals,chartevents,"valuenum, charttime, itemid",220181,Non Invasive Blood Pressure mean,mmHg,first,first 24 hours,median imputation in model pipeline,True,True,
respiratory_rate_first,vitals,chartevents,"valuenum, charttime, itemid",220210,Respiratory Rate,insp/min,first,first 24 hours,median imputation in model pipeline,True,True,
respiratory_rate_min,vitals,chartevents,"valuenum, charttime, itemid",220210,Respiratory Rate,insp/min,minimum,first 24 hours,median imputation in model pipeline,True,True,
respiratory_rate_max,vitals,chartevents,"valuenum, charttime, itemid",220210,Respiratory Rate,insp/min,maximum,first 24 hours,median imputation in model pipeline,True,True,
spo2_first,vitals,chartevents,"valuenum, charttime, itemid",220277,O2 saturation pulseoxymetry,%,first,first 24 hours,median imputation in model pipeline,True,True,
spo2_min,vitals,chartevents,"valuenum, charttime, itemid",220277,O2 saturation pulseoxymetry,%,minimum,first 24 hours,median imputation in model pipeline,True,True,
spo2_max,vitals,chartevents,"valuenum, charttime, itemid",220277,O2 saturation pulseoxymetry,%,maximum,first 24 hours,median imputation in model pipeline,True,True,
temperature_first,vitals,chartevents,"valuenum, charttime, itemid",223762,Temperature Celsius,°C,first,first 24 hours,median imputation in model pipeline,True,True,
temperature_min,vitals,chartevents,"valuenum, charttime, itemid",223762,Temperature Celsius,°C,minimum,first 24 hours,median imputation in model pipeline,True,True,
temperature_max,vitals,chartevents,"valuenum, charttime, itemid",223762,Temperature Celsius,°C,maximum,first 24 hours,median imputation in model pipeline,True,True,
heart_failure,comorbidities,diagnoses_icd,"icd_code, icd_version","('I50', 10)",Heart Failure,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
hypertension,comorbidities,diagnoses_icd,"icd_code, icd_version","('I10', 10)",Hypertension,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
metastatic_cancer,comorbidities,diagnoses_icd,"icd_code, icd_version","('C79', 10)",Metastatic Cancer,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
obesity,comorbidities,diagnoses_icd,"icd_code, icd_version","('E66', 10)",Obesity,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
alcohol_abuse,comorbidities,diagnoses_icd,"icd_code, icd_version","('F10', 10)",Alcohol Abuse,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
depression,comorbidities,diagnoses_icd,"icd_code, icd_version","('F32', 10)",Depression,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
paralysis,comorbidities,diagnoses_icd,"icd_code, icd_version","('G82', 10)",Paralysis,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
diabetes,comorbidities,diagnoses_icd,"icd_code, icd_version","('E11', 10)",Diabetes,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
weight_loss,comorbidities,diagnoses_icd,"icd_code, icd_version","('R63', 10)",Weight Loss,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
drug_abuse,comorbidities,diagnoses_icd,"icd_code, icd_version","('F11', 10)",Drug Abuse,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
chronic_kidney_disease,comorbidities,diagnoses_icd,"icd_code, icd_version","('N18', 10)",Chronic Kidney Disease,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
chronic_pulmonary_disease,comorbidities,diagnoses_icd,"icd_code, icd_version","('J44', 10)",Chronic Pulmonary Disease,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
liver_disease,comorbidities,diagnoses_icd,"icd_code, icd_version","('K74', 10)",Liver Disease,,binary ICD-9/10 mapping,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
comorbidity_count,comorbidities,diagnoses_icd,"icd_code, icd_version",documented mapping set,Comorbidity Count,,sum of 13 binary indicators,diagnoses available by index discharge,0 when no mapped diagnosis,True,True,
pao2_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50821,pO2,mmHg,first valid value,first 24 hours,median imputation in model pipeline,True,True,
pco2_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50818,pCO2,mmHg,first valid value,first 24 hours,median imputation in model pipeline,True,True,
pf_ratio_first,laboratory_chart,labevents/chartevents,"valuenum, itemid",,PaO2/FiO2 ratio,ratio,first PaO2 divided by contemporaneous FiO2,first 24 hours,median imputation in model pipeline,True,True,
ph_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50820,pH,units,first valid value,first 24 hours,median imputation in model pipeline,True,True,
bicarbonate_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50882,Bicarbonate,mEq/L,first valid value,first 24 hours,median imputation in model pipeline,True,True,
creatinine_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50912,Creatinine,mg/dL,first valid value,first 24 hours,median imputation in model pipeline,True,True,
